matematica,fund_computacao,tec_computacao,linha_de_pesquisa
14.0,21.0,10.0,Outras
16.0,22.0,12.0,Engenharia de Software e Interação
4.0,16.0,8.0,Engenharia de Software e Interação
4.0,13.0,7.0,Engenharia de Software e Interação
6.0,15.0,11.0,Outras
12.0,20.0,11.0,Engenharia de Software e Interação
9.0,17.0,11.0,Engenharia de Software e Interação
7.0,15.0,4.0,Inteligência Artificial e Ciência de Dados
5.0,16.0,3.0,Educação em Computação e Sociedade
5.0,14.0,8.0,Sistemas de Computação
5.0,10.0,3.0,Inteligência Artificial e Ciência de Dados
5.0,12.0,6.0,Sistemas de Computação
19.0,21.0,12.0,Sistemas de Computação
9.0,15.0,15.0,Engenharia de Software e Interação
11.0,14.0,9.0,Engenharia de Software e Interação
17.0,23.0,13.0,Inteligência Artificial e Ciência de Dados
6.0,10.0,7.0,Engenharia de Software e Interação
4.0,11.0,9.0,Engenharia de Software e Interação
14.0,11.0,7.0,Outras
6.0,8.0,6.0,Engenharia de Software e Interação
6.0,13.0,6.0,Sistemas de Computação
17.0,24.0,11.0,Outras
11.0,12.0,10.0,Outras
7.0,19.0,6.0,Sistemas de Computação
8.0,15.0,8.0,Engenharia de Software e Interação
9.0,13.0,7.0,Inteligência Artificial e Ciência de Dados
8.0,14.0,8.0,Educação em Computação e Sociedade
11.0,15.0,9.0,Inteligência Artificial e Ciência de Dados
11.0,16.0,8.0,Engenharia de Software e Interação
9.0,11.0,6.0,Outras
7.0,15.0,4.0,Sistemas de Computação
9.0,16.0,8.0,Inteligência Artificial e Ciência de Dados
4.0,17.0,8.0,Engenharia de Software e Interação
6.0,18.0,9.0,Inteligência Artificial e Ciência de Dados
7.0,11.0,7.0,Outras
11.0,19.0,10.0,Sistemas de Computação
7.0,20.0,7.0,Engenharia de Software e Interação
6.0,11.0,8.0,Engenharia de Software e Interação
7.0,14.0,4.0,Inteligência Artificial e Ciência de Dados
8.0,15.0,6.0,Inteligência Artificial e Ciência de Dados
10.0,13.0,4.0,Sistemas de Computação
4.0,15.0,4.0,Engenharia de Software e Interação
5.0,15.0,3.0,Sistemas de Computação
7.0,11.0,8.0,Inteligência Artificial e Ciência de Dados
4.0,14.0,5.0,Outras
7.0,16.0,4.0,Outras
6.0,16.0,12.0,Engenharia de Software e Interação
7.0,13.0,8.0,Engenharia de Software e Interação
6.0,12.0,5.0,Engenharia de Software e Interação
7.0,13.0,12.0,Outras
5.0,13.0,4.0,Outras
5.0,15.0,2.0,Engenharia de Software e Interação
13.0,17.0,9.0,Inteligência Artificial e Ciência de Dados
7.0,13.0,6.0,Engenharia de Software e Interação
6.0,17.0,7.0,Sistemas de Computação
8.0,15.0,8.0,Inteligência Artificial e Ciência de Dados
8.0,12.0,10.0,Inteligência Artificial e Ciência de Dados
8.0,11.0,8.0,Sistemas de Computação
11.0,12.0,6.0,Outras
8.0,12.0,3.0,Inteligência Artificial e Ciência de Dados
5.0,8.0,9.0,Inteligência Artificial e Ciência de Dados
5.0,10.0,5.0,Outras
5.0,16.0,5.0,Sistemas de Computação
7.0,17.0,8.0,Sistemas de Computação
8.0,13.0,10.0,Inteligência Artificial e Ciência de Dados
7.0,9.0,6.0,Sistemas de Computação
6.0,13.0,7.0,Engenharia de Software e Interação
6.0,15.0,11.0,Engenharia de Software e Interação
8.0,14.0,6.0,Inteligência Artificial e Ciência de Dados
10.0,11.0,5.0,Outras
10.0,17.0,6.0,Engenharia de Software e Interação
5.0,10.0,6.0,Sistemas de Computação
7.0,12.0,8.0,Inteligência Artificial e Ciência de Dados
4.0,9.0,2.0,Educação em Computação e Sociedade
6.0,12.0,6.0,Inteligência Artificial e Ciência de Dados
2.0,17.0,6.0,Engenharia de Software e Interação
8.0,9.0,6.0,Sistemas de Computação
6.0,17.0,8.0,Inteligência Artificial e Ciência de Dados
11.0,9.0,2.0,Engenharia de Software e Interação
6.0,15.0,8.0,Sistemas de Computação
3.0,7.0,2.0,Inteligência Artificial e Ciência de Dados
8.0,22.0,9.0,Sistemas de Computação
5.0,11.0,8.0,Engenharia de Software e Interação
5.0,11.0,6.0,Engenharia de Software e Interação
8.0,19.0,8.0,Inteligência Artificial e Ciência de Dados
8.0,16.0,8.0,Inteligência Artificial e Ciência de Dados
11.0,18.0,7.0,Engenharia de Software e Interação
6.0,12.0,6.0,Engenharia de Software e Interação
11.0,16.0,6.0,Inteligência Artificial e Ciência de Dados
10.0,14.0,5.0,Engenharia de Software e Interação
11.0,11.0,9.0,Sistemas de Computação
10.0,16.0,7.0,Outras
10.0,18.0,5.0,Sistemas de Computação
