idade,sexo,estado,presença,cargo,especialidade,algoritmos_e_estruturas_de_dados,analise_combinatoria,analise_de_algoritmos,arquitetura_e_organizacao_de_computadores,banco_de_dados,calculo_diferencial_e_integral,circuitos_digitais,compiladores,computacao_grafica,engenharia_de_software,geometria_analitica,inteligencia_artificial,linguagens_de_programacao,linguagens_formais_automatos_e_computabilidade,logica_matematica,matematica_discreta,organizacao_de_arquivos_e_dados,probabilidade_e_estatistica,processamento_de_imagens,redes_de_computadores,sistemas_distribuidos,sistemas_operacionais,teoria_dos_grafos,tecnicas_de_programacao,algebra_linear,ano,matematica,fund_computacao,tec_computacao
1989-11-29,masculino,ce,s,mestrado/doutorado,teoria da computação,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,0.0,3.0,0.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,2016,14.0,21.0,10.0
1995-02-23,masculino,rs,s,mestrado/doutorado,metodologias e técnicas de computação,3.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2016,16.0,22.0,12.0
1991-12-13,masculino,sp,s,mestrado/doutorado,engenharia de software,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,2.0,2.0,3.0,1.0,2016,4.0,16.0,8.0
1986-09-29,masculino,pa,s,mestrado/doutorado,sistemas de informação,2.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,3.0,1.0,2016,4.0,13.0,7.0
1997-12-26,feminino,am,s,mestrado/doutorado,computação gráfica,2.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0,2016,6.0,15.0,11.0
1995-02-15,masculino,ms,s,mestrado/doutorado,engenharia de software,3.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,2016,12.0,20.0,11.0
1985-02-23,masculino,pb,n,mestrado/doutorado,sistemas de computação,,,,,,,,,,,,,,,,,,,,,,,,,,2016,0.0,0.0,0.0
1991-07-31,masculino,pb,s,mestrado/doutorado,metodologias e técnicas de computação,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,2016,9.0,17.0,11.0
1993-05-05,masculino,go,s,mestrado/doutorado,inteligência artificial,2.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,1.0,2.0,0.0,2016,7.0,15.0,4.0
1965-12-06,masculino,sp,n,mestrado/doutorado,robótica,,,,,,,,,,,,,,,,,,,,,,,,,,2016,0.0,0.0,0.0
1989-02-14,masculino,rn,s,mestrado/doutorado,informática na educação,0.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,2016,5.0,16.0,3.0
1985-01-04,masculino,sp,s,mestrado/doutorado,arquitetura de computadores,0.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,2016,5.0,14.0,8.0
1985-07-25,masculino,pr,s,mestrado/doutorado,visão computacional,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2016,5.0,10.0,3.0
1974-05-24,masculino,sp,n,mestrado/doutorado,sistemas de computação,,,,,,,,,,,,,,,,,,,,,,,,,,2016,0.0,0.0,0.0
1981-05-04,masculino,pr,s,mestrado/doutorado,redes de computadores,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,3.0,1.0,2016,5.0,12.0,6.0
1988-04-04,masculino,sp,n,mestrado/doutorado,sistemas inteligentes,,,,,,,,,,,,,,,,,,,,,,,,,,2016,0.0,0.0,0.0
1993-02-03,masculino,mg,s,mestrado/doutorado,sistemas de computação,3.0,3.0,3.0,1.0,0.0,3.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2016,19.0,21.0,12.0
1984-08-27,masculino,se,s,mestrado/doutorado,banco de dados,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,1.0,0.0,1.0,2.0,2.0,3.0,0.0,3.0,3.0,2.0,2016,9.0,15.0,15.0
1989-07-10,masculino,ce,s,mestrado/doutorado,engenharia de software,0.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,3.0,2.0,3.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,3.0,3.0,2.0,2016,11.0,14.0,9.0
1987-10-01,masculino,rs,s,mestrado/doutorado,inteligência artificial,3.0,3.0,2.0,3.0,0.0,3.0,3.0,1.0,0.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,3.0,3.0,1.0,3.0,2.0,3.0,2016,17.0,23.0,13.0
1985-09-07,feminino,go,s,mestrado/doutorado,engenharia de software,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,3.0,1.0,2016,6.0,10.0,7.0
1982-07-31,feminino,pe,s,mestrado/doutorado,interação humano-computador,1.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,3.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,2016,4.0,11.0,9.0
1981-09-22,feminino,sp,n,mestrado/doutorado,sistemas de computação,,,,,,,,,,,,,,,,,,,,,,,,,,2016,0.0,0.0,0.0
1982-07-26,feminino,es,s,mestrado/doutorado,computação aplicada,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,2016,14.0,11.0,7.0
1990-06-22,feminino,sp,n,mestrado/doutorado,engenharia de software,,,,,,,,,,,,,,,,,,,,,,,,,,2016,0.0,0.0,0.0
1985-03-22,feminino,ba,n,mestrado/doutorado,engenharia de software,,,,,,,,,,,,,,,,,,,,,,,,,,2016,0.0,0.0,0.0
1977-04-16,feminino,rj,s,mestrado/doutorado,banco de dados,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0,2016,6.0,8.0,6.0
1988-06-10,masculino,pr,s,mestrado/doutorado,redes de computadores,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,3.0,0.0,2016,6.0,13.0,6.0
1987-05-23,masculino,mt,s,mestrado/doutorado,teoria da computação,3.0,2.0,3.0,3.0,0.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,0.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2016,17.0,24.0,11.0
1994-10-13,masculino,al,s,mestrado/doutorado,computação gráfica,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,2.0,3.0,2016,11.0,12.0,10.0
1991-05-20,masculino,sp,s,mestrado/doutorado,redes de computadores,1.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,3.0,3.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,3.0,2.0,2016,7.0,19.0,6.0
1990-06-25,masculino,sp,n,mestrado/doutorado,sistemas de computação,,,,,,,,,,,,,,,,,,,,,,,,,,2016,0.0,0.0,0.0
1981-05-20,masculino,al,n,mestrado/doutorado,sistemas de computação,,,,,,,,,,,,,,,,,,,,,,,,,,2016,0.0,0.0,0.0
